id,name,houseLink,pictureurl,area,road,year,totlefloor,floor,lfloors,size,room,hall,bath,totalprice,type,lands,blan,parking
0,鎮金面圓山捷運強,https://buy.yungching.com.tw/house/4565228,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtoQ1KzZfAI7Q2KQsHHe4L4nrF-jZmIiGCW5_WImEb0hNaL3J1GNqG9qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,中山區,天祥路,16.3,14.0,12 , 12,15.64,2.0,1.0,1.0,1638,住宅大樓,1.47,10.65,
1,實小學區邊間透天,https://buy.yungching.com.tw/house/4565515,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsujpVBiSb0CPG1knbga7kcKK-wuZbQGjhDI2-5C5ehXcQyoEJrchcEqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,中正區,和平西路二段,54.1,3.0,1 , 3,46.03,6.0,1.0,3.0,3790,透天厝,16.94,46.03,
2,幸安金華飯店管理,https://buy.yungching.com.tw/house/4566008,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvcFre1yyB_adBuxQksC50zFd6fVNM7q_ggMGmlXFTFNOpm7dEPR8aoqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,中正區,信義路二段,2.7,14.0,10 , 10,13.58,1.0,1.0,1.0,2073,住宅大樓,1.61,7.24,
3,松德獨戶黑土屋,https://buy.yungching.com.tw/house/4566093,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCudEVQFWftBW9DVJfZyPfCKCITgt6X1VwPE2pQ9VKEsgtKvJaaAbqieqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,信義區,松德路,41.8,5.0,5 , 5,34.56,3.0,2.0,1.0,1980,公寓,9.98,34.56,
4,大安捷運高樓景觀,https://buy.yungching.com.tw/house/4566205,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtzZtOxb4Q5TULzf5mRc7BqZwvbV7v60_Dp5b1AXbK-1GWb66y_nE8eqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,大安區,信義路四段,34.2,17.0,10 , 10,92.65,4.0,2.0,3.0,9500,住宅大樓,8.32,66.29,(含車位14.77坪)
5,公園邊間景觀高樓,https://buy.yungching.com.tw/house/4567182,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsaEwHUi4POMyM7UmOOfwLbZQKFXn6sVu5DEPqtKNbTglDwzOloHmtLqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,大安區,延吉街,43.0,7.0,6 , 6,48.26,3.0,2.0,3.0,4250,華廈,10.11,42.78,
6,大安薈館景觀套房,https://buy.yungching.com.tw/house/4567215,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCuKMpAhO5eTlOIO6La0k6jEoL51xxLFEY3YcJki1PlFGm_hPaIVQI6pqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,大安區,大安路二段,11.1,12.0,11 , 11,16.92,1.0,1.0,1.0,1960,住宅大樓,2.04,8.15,(含車位4.54坪)
7,電梯大鑽石透天,https://buy.yungching.com.tw/house/4567247,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvS3UYNJk8rHEnzPfSP8hwH3WxxoQkDbjK-eHG6925ClknEAiP7a-06qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,大同區,承德路三段,52.8,4.0,1 , 4,203.06,8.0,6.0,4.0,28000,透天厝,66.55,203.06,
8,三代同堂邊間大宅,https://buy.yungching.com.tw/house/4567395,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCv62Pr66MBxCkCrDqU02Z_ncx8QHbvbaRVza85fFpKVOBRH3r7BuWdCqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,大安區,通化街,34.7,7.0,5 , 5,61.21,5.0,3.0,6.0,4888,華廈,13.75,57.51,
9,敦南林蔭三傑辦公,https://buy.yungching.com.tw/house/4567794,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvzYYE99h3n1p5kD_ItlF8fZpUwLyNMPfiqdlXOXMaVwr8W1d3OdMcuqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQ7B1phpHz8Gf1IwmTkNi-8egw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,松山區,八德路三段,43.3,14.0,13 , 13,38.9,3.0,1.0,0.0,3800,辦公商業大樓,3.58,31.38,
