id,houseLink,pictureurl,area,road,size,totlefloor,floor,year,room,hall,bath,totalprice,unitprice
69040P,https://www.sinyi.com.tw/buy/house/69040P/?breadcrumb=list,https://res.sinyi.com.tw/buy/69040P/smallimg/A.JPG,中山區,錦州街,5.48,10,6,41.8,1,1,1,438,79.93
35921E,https://www.sinyi.com.tw/buy/house/35921E/?breadcrumb=list,https://res.sinyi.com.tw/buy/35921E/smallimg/A.JPG,文山區,辛亥路四段,39.71,10,4,2.4,2,2,1,2698,67.94
45377J,https://www.sinyi.com.tw/buy/house/45377J/?breadcrumb=list,https://res.sinyi.com.tw/buy/45377J/smallimg/A.JPG,萬華區,中華路二段,32.7,12,12,34.0,3,2,5,2420,74.01
07521Z,https://www.sinyi.com.tw/buy/house/07521Z/?breadcrumb=list,https://res.sinyi.com.tw/buy/07521Z/smallimg/A.JPG,大安區,光復南路,41.46,6,2,44.6,4,2,2,4580,110.47
06616X,https://www.sinyi.com.tw/buy/house/06616X/?breadcrumb=list,https://res.sinyi.com.tw/buy/06616X/smallimg/A.JPG,中山區,北安路,38.16,9,7,23.4,3,2,2,4058,106.34
12705W,https://www.sinyi.com.tw/buy/house/12705W/?breadcrumb=list,https://res.sinyi.com.tw/buy/12705W/smallimg/A.JPG,內湖區,成功路三段,111.25,8,1,7.8,4,2,3,8800,79.1
06348V,https://www.sinyi.com.tw/buy/house/06348V/?breadcrumb=list,https://res.sinyi.com.tw/buy/06348V/smallimg/A.JPG,士林區,天母西路,129.14,10,9,8.1,3,2,2,12800,99.12
87098K,https://www.sinyi.com.tw/buy/house/87098K/?breadcrumb=list,https://res.sinyi.com.tw/buy/87098K/smallimg/A.JPG,南港區,研究院路一段,62.8,18,15,22.4,2,2,2,4800,76.43
48338N,https://www.sinyi.com.tw/buy/house/48338N/?breadcrumb=list,https://res.sinyi.com.tw/buy/48338N/smallimg/A.JPG,文山區,興隆路三段,41.17,5,3,39.1,3,2,2,1480,35.95
68817Y,https://www.sinyi.com.tw/buy/house/68817Y,https://res.sinyi.com.tw/buy/64739G/smallimg/A.JPG,萬華區,康定路,39.62,10,3,38.9,2,3,1,1980,49.97
87610A,https://www.sinyi.com.tw/buy/house/87610A/?breadcrumb=list,https://res.sinyi.com.tw/buy/87610A/smallimg/A.JPG,內湖區,內湖路一段,29.38,5,5,40.9,3,2,2,1680,57.18
27611Z,https://www.sinyi.com.tw/buy/house/27611Z/?breadcrumb=list,https://res.sinyi.com.tw/buy/27611Z/smallimg/A.JPG,中山區,民生東路二段,75.93,14,9,7.3,3,2,2,7058,92.95
67702S,https://www.sinyi.com.tw/buy/house/67702S/?breadcrumb=list,https://res.sinyi.com.tw/buy/67702S/smallimg/A.JPG,文山區,辛亥路四段,39.67,10,2,2.4,2,2,1,2638,66.5
89054B,https://www.sinyi.com.tw/buy/house/89054B/?breadcrumb=list,https://res.sinyi.com.tw/buy/89054B/smallimg/A.JPG,內湖區,大湖山莊街,47.91,14,6,12.3,3,2,2,3200,66.79
75656E,https://www.sinyi.com.tw/buy/house/75656E/?breadcrumb=list,https://res.sinyi.com.tw/buy/75656E/smallimg/A.JPG,南港區,經貿二路,100.4,21,4,6.3,3,2,3,9788,97.49
87739D,https://www.sinyi.com.tw/buy/house/87739D/?breadcrumb=list,https://res.sinyi.com.tw/buy/87739D/smallimg/A.JPG,文山區,保儀路,69.27,24,7,6.7,3,2,2,4288,61.9
59824J,https://www.sinyi.com.tw/buy/house/59824J/?breadcrumb=list,https://res.sinyi.com.tw/buy/59824J/smallimg/A.JPG,文山區,辛亥路四段,39.67,10,3,2.4,2,2,1,2668,67.25
35630J,https://www.sinyi.com.tw/buy/house/35630J/?breadcrumb=list,https://res.sinyi.com.tw/buy/35630J/smallimg/A.JPG,中山區,北安路,71.06,6,6,27.6,3,2,5,4858,68.36
41620N,https://www.sinyi.com.tw/buy/house/41620N/?breadcrumb=list,https://res.sinyi.com.tw/buy/41620N/smallimg/A.JPG,北投區,中和街,31.93,4,2,45.8,3,2,1,1380,43.22
52799M,https://www.sinyi.com.tw/buy/house/52799M/?breadcrumb=list,https://res.sinyi.com.tw/buy/52799M/smallimg/A.JPG,北投區,新民路,58.17,7,2,21.3,3,2,2,2088,35.89
21503J,https://www.sinyi.com.tw/buy/house/21503J/?breadcrumb=list,https://res.sinyi.com.tw/buy/21503J/smallimg/A.JPG,大同區,重慶北路二段,8.06,12,10,37.5,1,1,1,888,110.17
73104L,https://www.sinyi.com.tw/buy/house/73104L/?breadcrumb=list,https://res.sinyi.com.tw/buy/73104L/smallimg/A.JPG,松山區,復興北路,33.21,5,5,35.2,3,2,2,3588,108.04
91272R,https://www.sinyi.com.tw/buy/house/91272R/?breadcrumb=list,https://res.sinyi.com.tw/buy/91272R/smallimg/A.JPG,信義區,基隆路二段,32.71,15,10,6.4,1,1,1,3280,100.28
31056Z,https://www.sinyi.com.tw/buy/house/31056Z/?breadcrumb=list,https://res.sinyi.com.tw/buy/31056Z/smallimg/A.JPG,內湖區,金豐街,33.85,10,7,10.3,2,2,1,1650,48.74
43765F,https://www.sinyi.com.tw/buy/house/43765F/?breadcrumb=list,https://res.sinyi.com.tw/buy/43765F/smallimg/A.JPG,中山區,新生北路三段,84.91,9,8,11.4,4,2,2,6800,80.08
63359H,https://www.sinyi.com.tw/buy/house/63359H/?breadcrumb=list,https://res.sinyi.com.tw/buy/63359H/smallimg/A.JPG,士林區,福志路,66.24,12,10,7.0,3,2,3,6380,96.32
42652W,https://www.sinyi.com.tw/buy/house/42652W/?breadcrumb=list,https://res.sinyi.com.tw/buy/42652W/smallimg/A.JPG,中山區,長安東路二段,34.59,12,12,38.1,1,1,2,2688,77.71
99066F,https://www.sinyi.com.tw/buy/house/99066F/?breadcrumb=list,https://res.sinyi.com.tw/buy/99066F/smallimg/A.JPG,松山區,三民路,67.45,14,3,14.2,4,2,2,4860,72.05
37264Q,https://www.sinyi.com.tw/buy/house/37264Q/?breadcrumb=list,https://res.sinyi.com.tw/buy/37264Q/smallimg/A.JPG,士林區,忠誠路二段,123.64,11,3,10.2,4,2,4,12000,97.06
25098G,https://www.sinyi.com.tw/buy/house/25098G/?breadcrumb=list,https://res.sinyi.com.tw/buy/25098G/smallimg/A.JPG,中正區,仁愛路二段,44.6,15,2,12.1,2,2,2,6600,147.98
97943H,https://www.sinyi.com.tw/buy/house/97943H/?breadcrumb=list,https://res.sinyi.com.tw/buy/97943H/smallimg/A.JPG,中山區,基湖路,55.85,6,5,17.6,4,2,2,5588,100.05
00178J,https://www.sinyi.com.tw/buy/house/00178J/?breadcrumb=list,https://res.sinyi.com.tw/buy/00178J/smallimg/A.JPG,松山區,撫遠街,27.38,4,2,46.0,3,2,1,1780,65.01
87949P,https://www.sinyi.com.tw/buy/house/87949P/?breadcrumb=list,https://res.sinyi.com.tw/buy/87949P/smallimg/A.JPG,中山區,朱崙街,56.16,11,9,6.6,3,2,2,7688,136.89
08268M,https://www.sinyi.com.tw/buy/house/08268M/?breadcrumb=list,https://res.sinyi.com.tw/buy/08268M/smallimg/A.JPG,中正區,和平西路二段,35.36,10,7,6.0,2,2,1,2880,81.45
07980Y,https://www.sinyi.com.tw/buy/house/07980Y/?breadcrumb=list,https://res.sinyi.com.tw/buy/07980Y/smallimg/A.JPG,南港區,同德路,34.2,7,3,36.7,3,2,2,2360,69.01
49736B,https://www.sinyi.com.tw/buy/house/49736B/?breadcrumb=list,https://res.sinyi.com.tw/buy/49736B/smallimg/A.JPG,中山區,新生北路二段,36.17,12,3,4.8,2,2,1,2280,63.04
20683Q,https://www.sinyi.com.tw/buy/house/20683Q/?breadcrumb=list,https://res.sinyi.com.tw/buy/20683Q/smallimg/A.JPG,南港區,研究院路二段,57.04,5,3,7.6,3,2,2,3238,56.77
00565X,https://www.sinyi.com.tw/buy/house/00565X/?breadcrumb=list,https://res.sinyi.com.tw/buy/00565X/smallimg/A.JPG,士林區,中山北路七段,46.27,7,3,43.5,4,2,2,3980,86.02
40839Y,https://www.sinyi.com.tw/buy/house/40839Y/?breadcrumb=list,https://res.sinyi.com.tw/buy/40839Y/smallimg/A.JPG,內湖區,內湖路一段,94.14,14,2,9.4,3,2,3,7500,79.67
79151T,https://www.sinyi.com.tw/buy/house/79151T/?breadcrumb=list,https://res.sinyi.com.tw/buy/79151T/smallimg/A.JPG,信義區,基隆路二段,50.03,15,3,10.5,2,2,1,3780,75.55
21152E,https://www.sinyi.com.tw/buy/house/21152E/?breadcrumb=list,https://res.sinyi.com.tw/buy/21152E/smallimg/A.JPG,大安區,大安路二段,25.63,4,4,46.3,3,2,2,2998,116.97
88036A,https://www.sinyi.com.tw/buy/house/88036A/?breadcrumb=list,https://res.sinyi.com.tw/buy/88036A/smallimg/A.JPG,萬華區,興義街,34.31,4,3,51.7,2,2,2,2000,58.29
88490A,https://www.sinyi.com.tw/buy/house/88490A/?breadcrumb=list,https://res.sinyi.com.tw/buy/88490A/smallimg/A.JPG,文山區,興隆路三段,36.24,5,5,36.6,3,2,1,998,27.54
90010W,https://www.sinyi.com.tw/buy/house/90010W/?breadcrumb=list,https://res.sinyi.com.tw/buy/90010W/smallimg/A.JPG,中山區,堤頂大道二段,61.92,12,12,13.9,4,2,2,6658,107.53
93663W,https://www.sinyi.com.tw/buy/house/93663W/?breadcrumb=list,https://res.sinyi.com.tw/buy/93663W/smallimg/A.JPG,大同區,重慶北路一段,52.16,12,5,32.4,4,2,2,3400,65.18
